MONTH,OWNER,DEPENDEDON,RELEASES,RRANK,SCORE,SSCORE
2019-09,danez,502568,77,0.908,456331.744,1
2019-09,loganfsmyth,509089,59,0.883,449525.587,1
2019-09,hzoo,508653,58,0.882,448631.946,1
2019-09,existentialism,461605,58,0.882,407135.61,1
2019-09,types,342591,505,0.988,338479.908,1
2019-09,nicolo-ribaudo,278943,58,0.882,246027.726,1
2019-09,fb,247372,87,0.918,227087.496,1
2019-09,gaearon,186342,98,0.926,172552.692,1
2019-09,jhnns,221843,19,0.704,156177.472,1
2019-09,ljharb,155464,79,0.91,141472.24,1
2019-09,sokra,203564,18,0.693,141069.852,1
2019-09,brianvaughn,149206,89,0.92,137269.52,0.999
2019-09,acdlite,150055,82,0.913,137000.215,0.999
2019-09,sebmck,163400,25,0.759,124020.6,0.999
2019-09,sophiebits,137373,71,0.899,123498.327,0.999
2019-09,thelarkinn,204413,12,0.596,121830.148,0.999
2019-09,sindresorhus,130255,104,0.93,121137.15,0.999
2019-09,evilebottnawi,164725,21,0.724,119260.9,0.999
2019-09,yyx990803,109040,175,0.961,104787.44,0.999
2019-09,trueadm,114758,68,0.897,102937.926,0.999
2019-09,threepointone,111609,74,0.906,101117.754,0.999
2019-09,sebmarkbage,103595,76,0.907,93960.665,0.999
2019-09,typescript,115750,27,0.768,88896,0.999
2019-09,cpojer,102747,44,0.845,86821.215,0.999
2019-09,d3viant0ne,151542,9,0.501,75922.542,0.999
2019-09,isaacs,78488,94,0.923,72444.424,0.999
2019-09,bebraw,136158,10,0.529,72027.582,0.999
2019-09,rich_harris,79900,62,0.887,70871.3,0.999
2019-09,beisencorp,63825,9884,1,63825,0.999
2019-09,thejameskyle,124733,9,0.501,62491.233,0.999
2019-09,michael-ciniawsky,166510,5,0.349,58111.99,0.999
2019-09,tmeasday,57734,986,0.995,57445.33,0.999
2019-09,jameshenry,59934,155,0.957,57356.838,0.999
2019-09,mysticatea,69123,37,0.815,56335.245,0.998
2019-09,ndelangen,56499,991,0.996,56273.004,0.998
2019-09,alexandrebodin,54510,1332,0.997,54346.47,0.998
2019-09,shilman,54374,983,0.995,54102.13,0.998
2019-09,hypnosphi,54293,983,0.995,54021.535,0.998
2019-09,pksunkara,54074,988,0.996,53857.704,0.998
2019-09,danielduan,54071,981,0.995,53800.645,0.998
2019-09,usulpro,54048,982,0.995,53777.76,0.998
2019-09,monastic.panic,54438,431,0.987,53730.306,0.998
2019-09,igor-dv,53671,981,0.995,53402.645,0.998
2019-09,domyen,52684,981,0.995,52420.58,0.998
2019-09,kylesuss,52673,981,0.995,52409.635,0.998
2019-09,gongreg,52671,981,0.995,52407.645,0.998
2019-09,angular,52278,325,0.98,51232.44,0.998
2019-09,trysound,86715,10,0.529,45872.235,0.998
2019-09,zpao,53263,23,0.745,39680.935,0.998
2019-09,kentcdodds,45079,44,0.845,38091.755,0.998
2019-09,soda,38970,136,0.953,37138.41,0.998
2019-09,ai,39958,66,0.895,35762.41,0.998
2019-09,akryum,35242,175,0.961,33867.562,0.998
2019-09,lukastaegert,63698,9,0.501,31912.698,0.998
2019-09,feross,34749,64,0.893,31030.857,0.998
2019-09,jimsimon,29786,3644,1,29786,0.997
2019-09,johnjcorrigan,29786,3644,1,29786,0.997
2019-09,jstern,29786,3644,1,29786,0.997
2019-09,agriffin-instructure,29748,3606,0.999,29718.252,0.997
2019-09,crwang,29748,3606,0.999,29718.252,0.997
2019-09,ddonahue-inst,29748,3606,0.999,29718.252,0.997
2019-09,mbrewerdavis,29748,3606,0.999,29718.252,0.997
2019-09,cprescott-inst,29746,3606,0.999,29716.254,0.997
2019-09,gbradyinstructure,29746,3606,0.999,29716.254,0.997
2019-09,hyan,29746,3606,0.999,29716.254,0.997
2019-09,jcrystal,29746,3606,0.999,29716.254,0.997
2019-09,jholt,29746,3606,0.999,29716.254,0.997
2019-09,jkhiggins,29746,3606,0.999,29716.254,0.997
2019-09,maths22,29746,3606,0.999,29716.254,0.997
2019-09,quizzesuici,29746,3606,0.999,29716.254,0.997
2019-09,skacsmark,29746,3606,0.999,29716.254,0.997
2019-09,vsubramaniam,29746,3606,0.999,29716.254,0.997
2019-09,tburraston,29743,3606,0.999,29713.257,0.997
2019-09,dignifiedquire,35174,41,0.836,29405.464,0.997
2019-09,claydiffrient,28781,3368,0.999,28752.219,0.997
2019-09,ryankshaw,28781,3368,0.999,28752.219,0.997
2019-09,eschiebel,28755,3367,0.999,28726.245,0.996
2019-09,personable,28755,3367,0.999,28726.245,0.996
2019-09,sejensen,28755,3367,0.999,28726.245,0.996
2019-09,instuici,28754,3367,0.999,28725.246,0.996
2019-09,shichongrui,28718,3330,0.998,28660.564,0.996
2019-09,codequistador,28717,3329,0.998,28659.566,0.996
2019-09,itadmins,28717,3329,0.998,28659.566,0.996
2019-09,natearmstrong,28717,3329,0.998,28659.566,0.996
2019-09,byackley,28716,3330,0.998,28658.568,0.996
2019-09,kmcgrady,28716,3329,0.998,28658.568,0.996
2019-09,leontaolong,28716,3329,0.998,28658.568,0.996
2019-09,phiett,28716,3329,0.998,28658.568,0.996
2019-09,bytenel,28712,3329,0.998,28654.576,0.996
2019-09,instructure-toolsmiths-service-user,28712,3329,0.998,28654.576,0.996
2019-09,mathias,70133,6,0.395,27702.535,0.996
2019-09,amzn-oss,27693,1643,0.998,27637.614,0.996
2019-09,nzakas,68962,6,0.395,27239.99,0.996
2019-09,mikeal,27273,98,0.926,25254.798,0.996
2019-09,eventualbuddha,33424,23,0.745,24900.88,0.996
2019-09,tjholowaychuk,40423,13,0.615,24860.145,0.996
2019-09,blakeembrey,50009,8,0.476,23804.284,0.996
2019-09,dotansimha,22259,7383,1,22259,0.996
2019-09,spacek33z,55983,6,0.395,22113.285,0.996
2019-09,urigo,21928,7212,1,21928,0.995
2019-09,stefanpenner,22709,181,0.962,21846.058,0.995
2019-09,aws-sdk-bot,21836,898,0.993,21683.148,0.995
2019-09,zheallan,21688,898,0.993,21536.184,0.995
2019-09,trivikr-aws,21617,885,0.993,21465.681,0.995
2019-09,johno,21518,789,0.993,21367.374,0.995
2019-09,rwjblue,22126,188,0.962,21285.212,0.995
2019-09,kamilkisiela,20776,7228,1,20776,0.995
2019-09,ardatan,20641,7210,1,20641,0.995
2019-09,jedwatson,22216,99,0.926,20572.016,0.995
2019-09,bcoe,33256,13,0.615,20452.44,0.995
2019-09,azakus,20513,388,0.985,20205.305,0.995
2019-09,apollo-bot,20996,158,0.958,20114.168,0.995
2019-09,substack,25479,30,0.787,20051.973,0.995
2019-09,darkbasic,19777,7018,1,19777,0.995
2019-09,timer,20531,166,0.959,19689.229,0.995
2019-09,jprichardson,36138,10,0.529,19117.002,0.995
2019-09,victorystick,47871,6,0.395,18909.045,0.995
2019-09,timdorr,31167,12,0.596,18575.532,0.995
2019-09,jfmengels,35032,10,0.529,18531.928,0.995
2019-09,rauchg,19216,188,0.962,18485.792,0.995
2019-09,gr2m,19799,97,0.924,18294.276,0.995
2019-09,bicknellr,18251,388,0.985,17977.235,0.994
2019-09,contra,23578,23,0.745,17565.61,0.994
